"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","creates the ebay adapter with a matching key","MarketplaceAdapterFactory","2026-07-12","passed","2026-07-12","","","",""
"","2","does NOT retry publish on a 429 failure (no duplicate POST)","OLXAdapter","2026-07-12","passed","2026-07-12","","","",""
"","1","validates description length on update","Product price / description updates","2026-07-12","passed","2026-07-12","","","",""
"","1","returns a clearly-marked dev-only value when unset","resolveJwtSecret (S1 fail-closed JWT secret)","2026-07-12","passed","2026-07-12","","development","",""
"","1","returns an empty string when XADD yields null","RedisEventBroker","2026-07-12","passed","2026-07-12","","","",""
"","66","delivers nothing to a client with no bound workspace — fail closed (CR5)","HermesLiveUpdates","2026-07-12","passed","2026-07-12","","","",""
"","1","still routes critical competitor price detections to review","HermesDecisionEngine.determineAutonomy","2026-07-12","passed","2026-07-12","","full_auto","",""
"","7","approves a pending event (happy path)","Presentation API","2026-07-12","passed","2026-07-12","","hermes","",""
"","1","keeps suggestions pending under suggest_only","HermesDecisionEngine.run","2026-07-12","passed","2026-07-12","","","",""
"","6","creates a valid product with default draft status","Product invariants","2026-07-12","passed","2026-07-12","","","",""
"","0","rejects updating selling price below cost by default","Product price / description updates","2026-07-12","passed","2026-07-12","","","",""
"","101","rejects an unknown email with the same 401 envelope (S6 constant-time path)","Presentation API","2026-07-12","passed","2026-07-12","","auth","",""
"","1","maps a null old_price to undefined and a null reason to undefined","PriceHistoryMapper","2026-07-12","passed","2026-07-12","","","",""
"","0","generateTitle returns a cleaned single-line title and includes marketplace context","HermesAI (IAIProvider)","2026-07-12","passed","2026-07-12","","","",""
"","1","returns the eBay stub adapter whose operations reject as not implemented","MarketplaceAdapterFactory","2026-07-12","passed","2026-07-12","","","",""
"","2","round-trips a typed value with the configured key prefix","RedisCache","2026-07-12","passed","2026-07-12","","","",""
"","3","rejects a connection with an invalid token (CR4)","HermesLiveUpdates","2026-07-12","passed","2026-07-12","","","",""
"","14","publishes via the adapter and emits a listing.published event","PublishListingHandler","2026-07-12","passed","2026-07-12","","","",""
"","70","logs in and returns the current principal via /auth/me","E2E product/listing/Hermes flow (in-memory, no DB)","2026-07-12","passed","2026-07-12","","","",""
"","5","maps an informational event with null proposed change and null product","EventMapper","2026-07-12","passed","2026-07-12","","","",""
"","1","creates the allegro adapter with a matching key","MarketplaceAdapterFactory","2026-07-12","passed","2026-07-12","","","",""
"","0","generateTitle falls back to the product name on empty model output","HermesAI (IAIProvider)","2026-07-12","passed","2026-07-12","","","",""
"","1","analyzeListing clamps the score and returns string suggestions","HermesAI (IAIProvider)","2026-07-12","passed","2026-07-12","","","",""
"","1","resolves void even though the broker returns an id","EventPublisher (IEventPublisher)","2026-07-12","passed","2026-07-12","","","",""
"","1","rejects invalid currency codes","Money","2026-07-12","passed","2026-07-12","","","",""
"","2","runs the injected engine and emits a completion event","HermesRunHandler","2026-07-12","passed","2026-07-12","","","",""
"","46","records a marketplace sync error and rethrows when the adapter fails (C5)","SyncMarketplaceHandler","2026-07-12","passed","2026-07-12","","","",""
"","1","maps columns, coerces DECIMAL strings to numbers and ISO-serializes the date","PriceHistoryMapper","2026-07-12","passed","2026-07-12","","","",""
"","1","returns NOT_FOUND when approving an event from another workspace (IDOR, S2)","ApproveHermesEventUseCase","2026-07-12","passed","2026-07-12","","","",""
"","0","fails when the workspace is missing","RunHermesUseCase","2026-07-12","passed","2026-07-12","","","",""
"","1","forces review when autoAdjustPricing is disabled, even under full_auto","HermesDecisionEngine guardrails (C1 / AMENDMENT FIX #5)","2026-07-12","passed","2026-07-12","","","",""
"","11","formats and stringifies","Money","2026-07-12","passed","2026-07-12","","","",""
"","9","throws when a successful Hermes response is not JSON","HermesCompletionClient","2026-07-12","passed","2026-07-12","","","",""
"","0","is immutable (frozen)","Money","2026-07-12","passed","2026-07-12","","","",""
"","0","keeps actorId when present and null metadata becomes undefined","ActivityLogMapper","2026-07-12","passed","2026-07-12","","","",""
"","5","throws a redacted high-level error when Hermes returns an error response","HermesCompletionClient","2026-07-12","passed","2026-07-12","","","",""
"","7","DELETE /products/:idB -> 404 (no delete)","IDOR: workspace A cannot reach workspace B resources (S2)","2026-07-12","passed","2026-07-12","","","",""
"","2","sends through the injected transport, applying the default from address","EmailProvider","2026-07-12","passed","2026-07-12","","","",""
"","1","auto-applies normal suggestions","HermesDecisionEngine.determineAutonomy","2026-07-12","passed","2026-07-12","","full_auto","",""
"","1","normalizes 401 to MarketplaceAuthenticationError","OLXAdapter","2026-07-12","passed","2026-07-12","","","",""
"","1","creates a valid price event as pending_review by default","HermesEvent creation invariants","2026-07-12","passed","2026-07-12","","","",""
"","45","GET /products/:idB -> 404","IDOR: workspace A cannot reach workspace B resources (S2)","2026-07-12","passed","2026-07-12","","","",""
"","3","builds an Express app from the resolved deps without throwing","buildContainer (composition root)","2026-07-12","passed","2026-07-12","","","",""
"","7","GET /listings/:idB -> 404","IDOR: workspace A cannot reach workspace B resources (S2)","2026-07-12","passed","2026-07-12","","","",""
"","1","cannot dismiss an applied event","HermesEvent approval rules","2026-07-12","passed","2026-07-12","","","",""
"","3","accepts a below-cost update when explicitly allowed","Product price / description updates","2026-07-12","passed","2026-07-12","","","",""
