"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","14","rejects invalid credentials with a 401 error envelope","Presentation API","2026-07-15","passed","2026-07-15","","auth","",""
"","7","publishes via the adapter and emits a listing.published event","PublishListingHandler","2026-07-15","passed","2026-07-15","","","",""
"","4","uses the marketplace account access token for real OLX publish jobs","PublishListingHandler","2026-07-15","passed","2026-07-15","","","",""
"","1","rejects wildcard-only CORS_ORIGIN in production","createCorsOptions","2026-07-15","passed","2026-07-15","","","",""
"","1","passesGuardrails honours per-action master switches","HermesDecisionEngine guardrails (C1 / AMENDMENT FIX #5)","2026-07-15","passed","2026-07-15","","","",""
"","4","treats invalid OLX counter value array as unavailable","OLXAdapter","2026-07-15","passed","2026-07-15","","","",""
"","1","does not mark profitable submissions as below-cost","productFormModel below-cost pricing","2026-07-15","passed","2026-07-15","","","",""
"","2","upserts by marketplace_id so a marketplace has one active OAuth account","MarketplaceAccountRepository","2026-07-15","passed","2026-07-15","","","",""
"","8","POST /listings/:idB/publish -> 404 (no cross-tenant publish)","IDOR: workspace A cannot reach workspace B resources (S2)","2026-07-15","passed","2026-07-15","","","",""
"","3","clears stored credentials when disconnecting","MarketplaceOAuthService","2026-07-15","passed","2026-07-15","","","",""
"","1","gives up after exhausting retries and throws the rate-limit error (updateListing)","OLXAdapter","2026-07-15","passed","2026-07-15","","","",""
"","1","fails when the workspace does not exist","CreateProductUseCase","2026-07-15","passed","2026-07-15","","","",""
"","3","clears existing account tokens when app credentials are rotated","MarketplaceOAuthService","2026-07-15","passed","2026-07-15","","","",""
"","1","returns an empty string when XADD yields null","RedisEventBroker","2026-07-15","passed","2026-07-15","","","",""
"","20","relist rejects a sold product (invariant enforced) (C6)","E2E product/listing/Hermes flow (in-memory, no DB)","2026-07-15","passed","2026-07-15","","","",""
"","17","supports dryRun on the publish endpoint without publishing","Presentation API","2026-07-15","passed","2026-07-15","","listings","",""
"","1","generateTitle falls back to the product name on empty model output","HermesAI (IAIProvider)","2026-07-15","passed","2026-07-15","","","",""
"","3","documents manual mode as explicit-action only and removes schedules","MarketplaceSyncScheduler","2026-07-15","passed","2026-07-15","","","",""
"","4","enqueues token-free sync jobs scoped to the requested workspace","SyncMarketplaceUseCase","2026-07-15","passed","2026-07-15","","","",""
"","1","rejects a description longer than 2000 chars","Product invariants","2026-07-15","passed","2026-07-15","","","",""
"","2","exposes a functioning WS event subscriber fed by the broker","buildContainer (composition root)","2026-07-15","passed","2026-07-15","","","",""
