"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","maps OLX remote status blocked to local status error","OLXAdapter","2026-07-17","passed","2026-07-17","","","",""
"","1","rejects invalid terminal-state transitions","HermesEvent lifecycle transitions","2026-07-17","passed","2026-07-17","","","",""
"","4","applies a pending price change: updates product, records history and marks applied","ApproveHermesEventUseCase","2026-07-17","passed","2026-07-17","","","",""
"","2","returns canonical HTTPS OLX external URLs","presentListing","2026-07-17","passed","2026-07-17","","","",""
"","9","documents manual mode as explicit-action only and removes schedules","MarketplaceSyncScheduler","2026-07-17","passed","2026-07-17","","","",""
"","2","delegates publishing to the injected broker","EventPublisher (IEventPublisher)","2026-07-17","passed","2026-07-17","","","",""
"","0","supports quoted schema/index identifiers and escaped quotes","concurrent migration SQL parsing","2026-07-17","passed","2026-07-17","","","",""
"","2","ignores CREATE INDEX CONCURRENTLY text inside line and block comments","concurrent migration SQL parsing","2026-07-17","passed","2026-07-17","","","",""
"","13","throws a redacted high-level error when Hermes returns an error response","HermesCompletionClient","2026-07-17","passed","2026-07-17","","","",""
"","2","observes transient and unknown remote statuses without destructive transitions","SyncMarketplaceHandler","2026-07-17","passed","2026-07-17","","","",""
"","2","rejects a missing production mode: """"","resolveDatabaseSslMode","2026-07-17","passed","2026-07-17","","","",""
"","2","does not rotate app credentials when account token clearing fails","MarketplaceOAuthService","2026-07-17","passed","2026-07-17","","","",""
"","3","attests an exact leaf category from the provider response","OlxTaxonomyResolver","2026-07-17","passed","2026-07-17","","","",""
"","4","preserves provenance and updatedAt when an ordinary edit resubmits the same category","Product category provenance","2026-07-17","passed","2026-07-17","","","",""
"","2","atomically consumes a reservation only after the worker owns the publication fence","OlxPublicationQuotaRepository","2026-07-17","passed","2026-07-17","","","",""
"","1","can route a guarded automatic decision to human review","HermesEvent lifecycle transitions","2026-07-17","passed","2026-07-17","","","",""
"","5","rejects invalid configured value abc","positiveInt","2026-07-17","passed","2026-07-17","","","",""
"","4","deletes only an image in the requested workspace","FilesystemProductImageStorage","2026-07-17","passed","2026-07-17","","","",""
"","1","fails validation when the description is too short","CreateProductUseCase","2026-07-17","passed","2026-07-17","","","",""
"","2","does not publish status or recommendation side effects when atomic persistence rejects","SyncMarketplaceHandler","2026-07-17","passed","2026-07-17","","","",""
"","2","does NOT retry publish on a 5xx failure (no duplicate POST)","OLXAdapter","2026-07-17","passed","2026-07-17","","","",""
"","1","rejects flat taxonomy with conflicting target leaf claims","OlxTaxonomyResolver","2026-07-17","passed","2026-07-17","","","",""
"","1","shows Development when release metadata is absent: """"","resolveApplicationVersion","2026-07-17","passed","2026-07-17","","","",""
"","1","blocks missing category metadata","evaluateOlxCategory","2026-07-17","passed","2026-07-17","","","",""
"","1","returns [] for sync with no ids without calling the transport","OLXAdapter","2026-07-17","passed","2026-07-17","","","",""
"","13","GET /hermes/events/:idB -> 404","IDOR: workspace A cannot reach workspace B resources (S2)","2026-07-17","passed","2026-07-17","","","",""
"","2","returns a structured guard error when the OLX quota guard is unavailable","ApproveHermesEventUseCase","2026-07-17","passed","2026-07-17","","","",""
"","1","maps /marketplaces to the contextual title Marketplaces","canonical MarketDesk shell contract","2026-07-17","passed","2026-07-17","","","",""
"","1","uses SETEX when a positive TTL is supplied","RedisCache","2026-07-17","passed","2026-07-17","","","",""
"","5","stores a fully decoded image/webp image in the authenticated workspace","ProductImageUploadService","2026-07-17","passed","2026-07-17","","","",""
"","13","fails closed when production TLS mode is missing","migrationPoolConfig","2026-07-17","passed","2026-07-17","","","",""
"","12","rejects draft listing creation for a disconnected marketplace","Presentation API","2026-07-17","passed","2026-07-17","","products","",""
"","2","creates a valid product with default draft status","Product invariants","2026-07-17","passed","2026-07-17","","","",""
"","1","maps an explicit provider message counter when one is exposed","OLXAdapter","2026-07-17","passed","2026-07-17","","","",""
"","1","passesGuardrails honours per-action master switches","HermesDecisionEngine guardrails (C1 / AMENDMENT FIX #5)","2026-07-17","passed","2026-07-17","","","",""
"","1","rejects an incomplete path","OlxTaxonomyResolver","2026-07-17","passed","2026-07-17","","","",""
"","9","generates a review-only AI product draft from a title","Presentation API","2026-07-17","passed","2026-07-17","","products","",""
"","4","imports eligible selected adverts locally without provider mutations and records provenance","MarketplaceImportService","2026-07-17","passed","2026-07-17","","","",""
"","2","keeps Listings routable but out of primary PRD navigation","canonical MarketDesk shell contract","2026-07-17","passed","2026-07-17","","","",""
"","2","creates one deterministic hourly repeatable job for connected marketplaces","MarketplaceSyncScheduler","2026-07-17","passed","2026-07-17","","","",""
