"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","forces review when the new margin is below minMarginFloor, even under full_auto","HermesDecisionEngine guardrails (C1 / AMENDMENT FIX #5)","2026-07-13","passed","2026-07-13","","","",""
"","2","throws when a successful Hermes response has no assistant content","HermesCompletionClient","2026-07-13","passed","2026-07-13","","","",""
"","0","does not fall back to a your_-prefixed placeholder","resolveJwtSecret (S1 fail-closed JWT secret)","2026-07-13","passed","2026-07-13","","development","",""
"","77","GET /products/:idB -> 404","IDOR: workspace A cannot reach workspace B resources (S2)","2026-07-13","passed","2026-07-13","","","",""
"","1","throws when the secret is an empty string","resolveJwtSecret (S1 fail-closed JWT secret)","2026-07-13","passed","2026-07-13","","production","",""
"","1","maps an entry, converting null actorId to undefined","ActivityLogMapper","2026-07-13","passed","2026-07-13","","","",""
"","1","returns null (treats as miss) on corrupt JSON","RedisCache","2026-07-13","passed","2026-07-13","","","",""
"","25","accepts an authed connection and binds its workspace from the token (CR4)","HermesLiveUpdates","2026-07-13","passed","2026-07-13","","","",""
"","1","suggestPrice tolerates JSON wrapped in a fenced code block","HermesAI (IAIProvider)","2026-07-13","passed","2026-07-13","","","",""
"","1","exposes generated events as presented views via the application service","RunHermesUseCase","2026-07-13","passed","2026-07-13","","","",""
"","3","sends everything to pending_review","HermesDecisionEngine.determineAutonomy","2026-07-13","passed","2026-07-13","","suggest_only","",""
"","1","throws when the secret is still a your_-prefixed placeholder","resolveJwtSecret (S1 fail-closed JWT secret)","2026-07-13","passed","2026-07-13","","production","",""
"","1","reports stubbed=false when a real (non-stub) transport is used","EmailProvider","2026-07-13","passed","2026-07-13","","","",""
"","1","deletes a key","RedisCache","2026-07-13","passed","2026-07-13","","","",""
"","1","rejects updating selling price below cost by default","Product price / description updates","2026-07-13","passed","2026-07-13","","","",""
"","1","routes non-safe types to review","HermesDecisionEngine.determineAutonomy","2026-07-13","passed","2026-07-13","","balanced","",""
"","15","formats and stringifies","Money","2026-07-13","passed","2026-07-13","","","",""
"","1","forbids any transition out of sold","Product status transitions (forward-only)","2026-07-13","passed","2026-07-13","","","",""
"","2","enqueues a publish job and logs intent when connected","PublishListingUseCase","2026-07-13","passed","2026-07-13","","","",""
"","2","fails when the workspace does not exist","CreateProductUseCase","2026-07-13","passed","2026-07-13","","","",""
"","34","PATCH /products/:idB -> 404 (no mutation)","IDOR: workspace A cannot reach workspace B resources (S2)","2026-07-13","passed","2026-07-13","","","",""
"","2","on retry with an already-published listing, finalizes WITHOUT calling adapter.publish again (CR2/CR3)","PublishListingHandler","2026-07-13","passed","2026-07-13","","","",""
"","14","rejects an unauthenticated connection (CR4)","HermesLiveUpdates","2026-07-13","passed","2026-07-13","","","",""
"","1","allows draft -> active -> attention -> sold","Product status transitions (forward-only)","2026-07-13","passed","2026-07-13","","","",""
"","2","returns NOT_FOUND when approving an event from another workspace (IDOR, S2)","ApproveHermesEventUseCase","2026-07-13","passed","2026-07-13","","","",""
"","1","is false for small price drops","HermesEvent requiresHumanReview","2026-07-13","passed","2026-07-13","","","",""
"","4","returns null on a miss","RedisCache","2026-07-13","passed","2026-07-13","","","",""
"","22","relist performs an actual republish (not a no-op) and finalizes live (C6)","E2E product/listing/Hermes flow (in-memory, no DB)","2026-07-13","passed","2026-07-13","","","",""
"","4","applies a pending price change: updates product, records history and marks applied","ApproveHermesEventUseCase","2026-07-13","passed","2026-07-13","","","",""
"","1","exposes lifecycle handles and a resolving shutdown()","buildContainer (composition root)","2026-07-13","passed","2026-07-13","","","",""
"","1","maps an informational event with null proposed change and null product","EventMapper","2026-07-13","passed","2026-07-13","","","",""
"","4","publishes via the adapter and emits a listing.published event","PublishListingHandler","2026-07-13","passed","2026-07-13","","","",""
"","1","forbids reverse transitions (active -> draft)","Product status transitions (forward-only)","2026-07-13","passed","2026-07-13","","","",""
"","29","creates a product then lists it back for the workspace","E2E product/listing/Hermes flow (in-memory, no DB)","2026-07-13","passed","2026-07-13","","","",""
"","16","creates a product and returns 201 with the success envelope","Presentation API","2026-07-13","passed","2026-07-13","","products","",""
"","65","delivers nothing to a client with no bound workspace — fail closed (CR5)","HermesLiveUpdates","2026-07-13","passed","2026-07-13","","","",""
"","18","rejects invalid credentials with a 401 error envelope","Presentation API","2026-07-13","passed","2026-07-13","","auth","",""
"","1","does NOT retry publish on a 429 failure (no duplicate POST)","OLXAdapter","2026-07-13","passed","2026-07-13","","","",""
"","15","returns the §18 paginated envelope on list","Presentation API","2026-07-13","passed","2026-07-13","","products","",""
"","1","throws when a successful Hermes response is not JSON","HermesCompletionClient","2026-07-13","passed","2026-07-13","","","",""
"","3","suggestPrice returns the typed PriceSuggestion shape and passes a JSON schema","HermesAI (IAIProvider)","2026-07-13","passed","2026-07-13","","","",""
"","2","suggestPrice falls back to current price / low confidence on unparseable output","HermesAI (IAIProvider)","2026-07-13","passed","2026-07-13","","","",""
"","1","rejects a duplicate SKU with a conflict","CreateProductUseCase","2026-07-13","passed","2026-07-13","","","",""
"","2","requires a typed price change for price events","HermesEvent creation invariants","2026-07-13","passed","2026-07-13","","","",""
"","2","maps a synced OLX ad to the domain SyncedListing shape","OLXAdapter","2026-07-13","passed","2026-07-13","","","",""
"","1","creates the ebay adapter with a matching key","MarketplaceAdapterFactory","2026-07-13","passed","2026-07-13","","","",""
"","3","warns and falls back to stub when only SMTP_URL is set (no silent delivery)","createEmailProvider factory (C3)","2026-07-13","passed","2026-07-13","","","",""
"","13","returns 401 when unauthenticated","Presentation API","2026-07-13","passed","2026-07-13","","products","",""
"","3","builds an Express app from the resolved deps without throwing","buildContainer (composition root)","2026-07-13","passed","2026-07-13","","","",""
"","2","auto-applies normal suggestions","HermesDecisionEngine.determineAutonomy","2026-07-13","passed","2026-07-13","","full_auto","",""
"","6","posts OpenAI-compatible chat completions to Hermes API Server","HermesCompletionClient","2026-07-13","passed","2026-07-13","","","",""
"","13","returns a VALIDATION_ERROR envelope with field details on invalid create","Presentation API","2026-07-13","passed","2026-07-13","","products","",""
"","1","auto-applies safe types only","HermesDecisionEngine.determineAutonomy","2026-07-13","passed","2026-07-13","","balanced","",""
"","2","dismisses a pending event","HermesEvent approval rules","2026-07-13","passed","2026-07-13","","","",""
"","1","keeps suggestions pending under suggest_only","HermesDecisionEngine.run","2026-07-13","passed","2026-07-13","","","",""
"","2","analyzeListing clamps the score and returns string suggestions","HermesAI (IAIProvider)","2026-07-13","passed","2026-07-13","","","",""
"","7","canPublish is true while not sold","Product status transitions (forward-only)","2026-07-13","passed","2026-07-13","","","",""
"","3","round-trips a typed value with the configured key prefix","RedisCache","2026-07-13","passed","2026-07-13","","","",""
"","2","parses numeric decimal prices as well as strings","ProductMapper","2026-07-13","passed","2026-07-13","","","",""
"","1","forces review when the change exceeds maxAutoPriceChangePct, even under full_auto","HermesDecisionEngine guardrails (C1 / AMENDMENT FIX #5)","2026-07-13","passed","2026-07-13","","","",""
"","1","coerces string timestamps to Date","AuthUserMapper","2026-07-13","passed","2026-07-13","","","",""
"","2","records activity log entries (append-only)","PostgreSQL repositories (integration)","2026-07-13","passed","2026-07-13","","","",""
"","1","maps a disconnected marketplace with null lastSync","MarketplaceMapper","2026-07-13","passed","2026-07-13","","","",""
"","26","publishes a listing and finalizes it live in the store (handler fix)","E2E product/listing/Hermes flow (in-memory, no DB)","2026-07-13","passed","2026-07-13","","","",""
"","2","rejects approving an event that is not pending_review","ApproveHermesEventUseCase","2026-07-13","passed","2026-07-13","","","",""
"","1","allows a null change for informational photo suggestions","HermesEvent creation invariants","2026-07-13","passed","2026-07-13","","","",""
