"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","fails when the workspace does not exist","CreateProductUseCase","2026-07-16","passed","2026-07-16","","","",""
"","3","enriches workspace listing rows with product title and SKU","ListingApplicationService","2026-07-16","passed","2026-07-16","","","",""
"","1","reports supported vs unsupported keys","MarketplaceAdapterFactory","2026-07-16","passed","2026-07-16","","","",""
"","2","throws when a successful Hermes response has no assistant content","HermesCompletionClient","2026-07-16","passed","2026-07-16","","","",""
"","0","treats invalid OLX counter value negative string as unavailable","OLXAdapter","2026-07-16","passed","2026-07-16","","","",""
"","1","fails closed for identity mismatch, check failure, and local disconnection","ProductWizardForm authoritative marketplace readiness","2026-07-16","passed","2026-07-16","","","",""
"","2","runs the injected engine and emits a completion event","HermesRunHandler","2026-07-16","passed","2026-07-16","","","",""
"","12","resolves the adapter by key and returns its sync results","SyncMarketplaceHandler","2026-07-16","passed","2026-07-16","","","",""
"","1","does not expose provider bodies or client secrets in token errors","OlxOAuthClient","2026-07-16","passed","2026-07-16","","","",""
"","4","passes remote status and hosted images from publish results to the finalizer","PublishListingHandler","2026-07-16","passed","2026-07-16","","","",""
"","2","does not treat wildcard config as a credentialed wildcard origin","createCorsOptions","2026-07-16","passed","2026-07-16","","","",""
"","4","records a marketplace sync error and rethrows when the adapter fails (C5)","SyncMarketplaceHandler","2026-07-16","passed","2026-07-16","","","",""
"","0","returns null on a miss","RedisCache","2026-07-16","passed","2026-07-16","","","",""
"","2","short-circuits a replay before locking or consuming quota","OlxPublicationQuotaRepository","2026-07-16","passed","2026-07-16","","","",""
"","2","treats repeated reconciled statuses as idempotent","SyncMarketplaceHandler","2026-07-16","passed","2026-07-16","","","",""
"","1","ignores malformed, future, stale, and unsupported-version values","product wizard draft persistence","2026-07-16","passed","2026-07-16","","","",""
"","2","exchanges an authorization code using a form-encoded token request","OlxOAuthClient","2026-07-16","passed","2026-07-16","","","",""
"","1","unschedules by deterministic marketplace job id","MarketplaceSyncScheduler","2026-07-16","passed","2026-07-16","","","",""
"","3","fails closed and reports an actionable unknown decision when no quota exists","OlxPublicationQuotaService","2026-07-16","passed","2026-07-16","","","",""
"","2","updates editable product details including cost price, condition and category","UpdateProductUseCase","2026-07-16","passed","2026-07-16","","","",""
"","2","analyzeListing clamps the score and returns string suggestions","HermesAI (IAIProvider)","2026-07-16","passed","2026-07-16","","","",""
"","2","maps OLX remote status new to local status live","OLXAdapter","2026-07-16","passed","2026-07-16","","","",""
"","8","returns publish preview warnings without publishing invalid listings","Presentation API","2026-07-16","passed","2026-07-16","","listings","",""
"","0","omits unsafe external URL http://www.olx.pl/d/oferta/camera-123","presentListing","2026-07-16","passed","2026-07-16","","","",""
"","1","records activity log entries (append-only)","PostgreSQL repositories (integration)","2026-07-16","passed","2026-07-16","","","",""
"","1","dismisses a pending event","HermesEvent approval rules","2026-07-16","passed","2026-07-16","","","",""
"","7","PATCH /listings/:idB (price) -> 404","IDOR: workspace A cannot reach workspace B resources (S2)","2026-07-16","passed","2026-07-16","","","",""
"","2","blocks unverified quota without an override","OlxPublicationQuotaService","2026-07-16","passed","2026-07-16","","","",""
"","1","stubs quietly when no email credentials are configured","createEmailProvider factory (C3)","2026-07-16","passed","2026-07-16","","","",""
"","4","still routes critical competitor price detections to review","HermesDecisionEngine.determineAutonomy","2026-07-16","passed","2026-07-16","","full_auto","",""
"","4","persists fetched stats onto listings and records the marketplace sync (C5)","SyncMarketplaceHandler","2026-07-16","passed","2026-07-16","","","",""
"","2","sends through the injected transport, applying the default from address","EmailProvider","2026-07-16","passed","2026-07-16","","","",""
"","2","refreshes an expired access token and persists refresh-token rotation","MarketplaceOAuthService","2026-07-16","passed","2026-07-16","","","",""
"","2","reports stubbed=false when a real (non-stub) transport is used","EmailProvider","2026-07-16","passed","2026-07-16","","","",""
"","1","refuses cross-currency arithmetic","Money","2026-07-16","passed","2026-07-16","","","",""
"","3","applies a pending price change: updates product, records history and marks applied","ApproveHermesEventUseCase","2026-07-16","passed","2026-07-16","","","",""
"","1","uses the marketplace account access token for real OLX publish jobs","PublishListingHandler","2026-07-16","passed","2026-07-16","","","",""
"","1","denies origins outside the allowlist","createCorsOptions","2026-07-16","passed","2026-07-16","","","",""
"","10","filters product recommendations before pagination","HermesApplicationService.listEvents","2026-07-16","passed","2026-07-16","","","",""
"","0","uses SETEX when a positive TTL is supplied","RedisCache","2026-07-16","passed","2026-07-16","","","",""
"","1","warns and falls back to stub when only SMTP_URL is set (no silent delivery)","createEmailProvider factory (C3)","2026-07-16","passed","2026-07-16","","","",""
"","3","invokes navigation updates for another representative section","SettingsPage shell navigation","2026-07-16","passed","2026-07-16","","","",""
"","1","returns NOT_FOUND when approving an event from another workspace (IDOR, S2)","ApproveHermesEventUseCase","2026-07-16","passed","2026-07-16","","","",""
"","90","rejects an unknown email with the same 401 envelope (S6 constant-time path)","Presentation API","2026-07-16","passed","2026-07-16","","auth","",""
"","2","finalizes the listing via the injected finalizer and defers the event to it","PublishListingHandler","2026-07-16","passed","2026-07-16","","","",""
"","5","fails fast for an invalid configured file-size limit","ProductImageUploadService","2026-07-16","passed","2026-07-16","","","",""
"","1","returns the eBay stub adapter whose operations reject as not implemented","MarketplaceAdapterFactory","2026-07-16","passed","2026-07-16","","","",""
"","1","preserves blank imported cost prices through edit submission","productFormModel below-cost pricing","2026-07-16","passed","2026-07-16","","","",""
"","1","applies simultaneous price decreases when selling drops below the old cost","UpdateProductUseCase","2026-07-16","passed","2026-07-16","","","",""
"","12","accepts the provider callback without a bearer token and returns the API envelope","Presentation API","2026-07-16","passed","2026-07-16","","marketplace OAuth","",""
"","2","requires at least one photo before leaving Photos","ProductWizardForm required-step validation","2026-07-16","passed","2026-07-16","","","",""
"","2","queues marketplace updates for approved title changes on live listings","ApproveHermesEventUseCase","2026-07-16","passed","2026-07-16","","","",""
"","2","exposes lifecycle handles and a resolving shutdown()","buildContainer (composition root)","2026-07-16","passed","2026-07-16","","","",""
"","1","uses readable labels in the chart data transformation and preserves top-view sorting","buildViewsChartData","2026-07-16","passed","2026-07-16","","","",""
"","2","rejects unsupported and oversized image data through distinct validation paths","ProductImageUploadService","2026-07-16","passed","2026-07-16","","","",""
"","2","wires the optional ports (price history + id generator)","buildContainer (composition root)","2026-07-16","passed","2026-07-16","","","",""
"","19","approves a pending Hermes event and applies the change (verify applied)","E2E product/listing/Hermes flow (in-memory, no DB)","2026-07-16","passed","2026-07-16","","","",""
"","3","enqueues token-free sync jobs scoped to the requested workspace","SyncMarketplaceUseCase","2026-07-16","passed","2026-07-16","","","",""
"","1","creates the allegro adapter with a matching key","MarketplaceAdapterFactory","2026-07-16","passed","2026-07-16","","","",""
"","3","XADDs the event to the per-aggregate stream with flattened fields","RedisEventBroker","2026-07-16","passed","2026-07-16","","","",""
"","1","maps OLX remote status deactivated to local status expired","OLXAdapter","2026-07-16","passed","2026-07-16","","","",""
"","2","enables only connections reported as connected by the API","ProductWizardForm marketplace options","2026-07-16","passed","2026-07-16","","","",""
"","1","forces review when the change exceeds maxAutoPriceChangePct, even under full_auto","HermesDecisionEngine guardrails (C1 / AMENDMENT FIX #5)","2026-07-16","passed","2026-07-16","","","",""
"","2","stores the provider result before local finalization resumes","PublishAttemptRepository","2026-07-16","passed","2026-07-16","","","",""
"","4","rejects a negative selling price","Product invariants","2026-07-16","passed","2026-07-16","","","",""
"","1","falls back to the marketplace listing id before showing a generic label","formatListingChartLabel","2026-07-16","passed","2026-07-16","","","",""
"","24","reads and validates authenticated OLX quota operator contracts","Presentation API","2026-07-16","passed","2026-07-16","","marketplace OAuth","",""
"","1","maps OLX remote status moderation to local status live","OLXAdapter","2026-07-16","passed","2026-07-16","","","",""
"","2","centers the full-size preview without stretching it across both axes","ListingDetailsPage presentation","2026-07-16","passed","2026-07-16","","","",""
"","2","builds an authorization URL with state and the registered redirect URI","OlxOAuthClient","2026-07-16","passed","2026-07-16","","","",""
"","99","provisions a disconnected OLX marketplace pending OAuth on register","Presentation API","2026-07-16","passed","2026-07-16","","auth","",""
"","31","requires workspace OLX application credentials before starting OAuth","MarketplaceOAuthService","2026-07-16","passed","2026-07-16","","","",""
"","12","requires authentication and an active workspace","product image upload HTTP contract","2026-07-16","passed","2026-07-16","","","",""
"","14","starts OLX OAuth without marking the marketplace connected","MarketplaceOAuthService","2026-07-16","passed","2026-07-16","","","",""
"","1","persists a cost-price-only update through the repository boundary","UpdateProductUseCase","2026-07-16","passed","2026-07-16","","","",""
"","1","returns a structured guard error when the OLX quota guard is unavailable","ApproveHermesEventUseCase","2026-07-16","passed","2026-07-16","","","",""
"","2","upserts by marketplace_id so a marketplace has one active OAuth account","MarketplaceAccountRepository","2026-07-16","passed","2026-07-16","","","",""
"","1","fails closed when evaluating an invalid current time","OlxPublicationQuota","2026-07-16","passed","2026-07-16","","","",""
"","2","publishes when marketplace connected and product not sold","Listing publish rules","2026-07-16","passed","2026-07-16","","","",""
"","3","returns a configured positive integer or the fallback","positiveInt","2026-07-16","passed","2026-07-16","","","",""
"","3","discovers owned OLX adverts through paginated read-only list calls","OLXAdapter","2026-07-16","passed","2026-07-16","","","",""
"","1","keeps non-OLX sync on the existing generic adapter path","SyncMarketplaceHandler","2026-07-16","passed","2026-07-16","","","",""
"","1","maps a disconnected marketplace with null lastSync","MarketplaceMapper","2026-07-16","passed","2026-07-16","","","",""
"","4","stores a fully decoded image/webp image in the authenticated workspace","ProductImageUploadService","2026-07-16","passed","2026-07-16","","","",""
"","9","falls back to existing product images for photo-first AI draft requests","Presentation API","2026-07-16","passed","2026-07-16","","products","",""
"","4","delegates publishing to the injected broker","EventPublisher (IEventPublisher)","2026-07-16","passed","2026-07-16","","","",""
"","3","uses the marketplace account access token for real OLX update jobs","PublishListingHandler","2026-07-16","passed","2026-07-16","","","",""
"","9","returns publish preview without publishing or enqueueing","Presentation API","2026-07-16","passed","2026-07-16","","listings","",""
"","6","passes the product filter to the Hermes event query","Presentation API","2026-07-16","passed","2026-07-16","","hermes","",""
"","18","generates a review-only AI product draft from a title","Presentation API","2026-07-16","passed","2026-07-16","","products","",""
"","1","rejects an invalid staleAt date","OlxPublicationQuota","2026-07-16","passed","2026-07-16","","","",""
"","1","cannot approve twice","HermesEvent approval rules","2026-07-16","passed","2026-07-16","","","",""
"","1","creates a valid price event as pending_review by default","HermesEvent creation invariants","2026-07-16","passed","2026-07-16","","","",""
"","3","rejects unsafe external URLs from OLX responses instead of guessing links","OLXAdapter","2026-07-16","passed","2026-07-16","","","",""
"","2","serializes different publish operation ids for the same listing","PublishListingHandler","2026-07-16","passed","2026-07-16","","","",""
"","1","returns [] for sync with no ids without calling the transport","OLXAdapter","2026-07-16","passed","2026-07-16","","","",""
"","1","rejects a description longer than 2000 chars","Product invariants","2026-07-16","passed","2026-07-16","","","",""
"","2","rejects undeclared runtime fields in persisted update jobs","PublishListingHandler","2026-07-16","passed","2026-07-16","","","",""
"","2","creates one deterministic hourly repeatable job for connected marketplaces","MarketplaceSyncScheduler","2026-07-16","passed","2026-07-16","","","",""
"","1","warns and marks zero-price submissions when cost is positive","productFormModel below-cost pricing","2026-07-16","passed","2026-07-16","","","",""
"","1","sends a Hermes session key only when request scope is provided","HermesCompletionClient","2026-07-16","passed","2026-07-16","","","",""
"","2","resolves void even though the broker returns an id","EventPublisher (IEventPublisher)","2026-07-16","passed","2026-07-16","","","",""
"","10","rejects invalid credentials with a 401 error envelope","Presentation API","2026-07-16","passed","2026-07-16","","auth","",""
"","1","approves a pending event and transitions to applied","HermesEvent approval rules","2026-07-16","passed","2026-07-16","","","",""
"","1","does not fall back to a your_-prefixed placeholder","resolveJwtSecret (S1 fail-closed JWT secret)","2026-07-16","passed","2026-07-16","","development","",""
"","5","maps nullable columns to null","ListingMapper","2026-07-16","passed","2026-07-16","","","",""
"","8","GET /workspaces/:idB returns the caller OWN workspace (A)","IDOR: workspace A cannot reach workspace B resources (S2)","2026-07-16","passed","2026-07-16","","","",""
"","2","rejects non-finite amounts","Money","2026-07-16","passed","2026-07-16","","","",""
"","7","throws a redacted high-level error when Hermes returns an error response","HermesCompletionClient","2026-07-16","passed","2026-07-16","","","",""
"","2","maps a connected marketplace","MarketplaceMapper","2026-07-16","passed","2026-07-16","","","",""
"","7","labels sync mode, explains modes, and hides unsupported realtime selection","MarketplaceCard","2026-07-16","passed","2026-07-16","","","",""
"","1","canPublish is true while not sold","Product status transitions (forward-only)","2026-07-16","passed","2026-07-16","","","",""
"","7","rejects an invalid cycleEndsAt date","OlxPublicationQuotaService","2026-07-16","passed","2026-07-16","","","",""
"","1","returns null when fetching a missing OLX advert","OLXAdapter","2026-07-16","passed","2026-07-16","","","",""
"","8","maps /hermes to the contextual title Hermes AI","canonical MarketDesk shell contract","2026-07-16","passed","2026-07-16","","","",""
"","15","creates a product and returns 201 with the success envelope","Presentation API","2026-07-16","passed","2026-07-16","","products","",""
"","1","enqueues with marketplaceId when the OAuth account is connected","PublishListingUseCase","2026-07-16","passed","2026-07-16","","","",""
