"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4","publishes when marketplace connected and product not sold","Listing publish rules","2026-07-14","passed","2026-07-14","","","",""
"","3","creates a valid product with default draft status","Product invariants","2026-07-14","passed","2026-07-14","","","",""
"","2","suggestPrice tolerates JSON wrapped in a fenced code block","HermesAI (IAIProvider)","2026-07-14","passed","2026-07-14","","","",""
"","2","normalizes a null workspace_id","AuthUserMapper","2026-07-14","passed","2026-07-14","","","",""
"","15","maps concurrent duplicate listing persistence to a conflict response","Presentation API","2026-07-14","passed","2026-07-14","","products","",""
"","2","does NOT retry publish on a 429 failure (no duplicate POST)","OLXAdapter","2026-07-14","passed","2026-07-14","","","",""
"","20","relist performs an actual republish (not a no-op) and finalizes live (C6)","E2E product/listing/Hermes flow (in-memory, no DB)","2026-07-14","passed","2026-07-14","","","",""
"","3","rejects a connection with an invalid token (CR4)","HermesLiveUpdates","2026-07-14","passed","2026-07-14","","","",""
"","3","creates from a major-unit decimal and exposes minor units","Money","2026-07-14","passed","2026-07-14","","","",""
"","1","creates the facebook adapter with a matching key","MarketplaceAdapterFactory","2026-07-14","passed","2026-07-14","","","",""
"","1","returns NOT_FOUND for an unknown event","ApproveHermesEventUseCase","2026-07-14","passed","2026-07-14","","","",""
"","2","uses SETEX when a positive TTL is supplied","RedisCache","2026-07-14","passed","2026-07-14","","","",""
"","1","requires an external listing id","Listing publish rules","2026-07-14","passed","2026-07-14","","","",""
"","1","rejects blank CORS_ORIGIN in production","createCorsOptions","2026-07-14","passed","2026-07-14","","","",""
"","17","records a marketplace sync error and rethrows when the adapter fails (C5)","SyncMarketplaceHandler","2026-07-14","passed","2026-07-14","","","",""
"","6","sends everything to pending_review","HermesDecisionEngine.determineAutonomy","2026-07-14","passed","2026-07-14","","suggest_only","",""
"","0","creates a valid price event as pending_review by default","HermesEvent creation invariants","2026-07-14","passed","2026-07-14","","","",""
"","1","forces review when the new margin is below minMarginFloor, even under full_auto","HermesDecisionEngine guardrails (C1 / AMENDMENT FIX #5)","2026-07-14","passed","2026-07-14","","","",""
"","2","blocks live OLX create-listing POST unless explicitly enabled","FetchMarketplaceHttpClient","2026-07-14","passed","2026-07-14","","","",""
"","2","auto-applies normal suggestions","HermesDecisionEngine.determineAutonomy","2026-07-14","passed","2026-07-14","","full_auto","",""
"","4","populates every required AppDeps field","buildContainer (composition root)","2026-07-14","passed","2026-07-14","","","",""
"","1","refuses to publish to a disconnected marketplace","Listing publish rules","2026-07-14","passed","2026-07-14","","","",""
"","8","allows sellingPrice below costPrice when allowBelowCost is set (bulk-edit)","Product invariants","2026-07-14","passed","2026-07-14","","","",""
"","1","reports supported vs unsupported keys","MarketplaceAdapterFactory","2026-07-14","passed","2026-07-14","","","",""
"","2","POSTs to the SendGrid API and returns the message id; reports non-stub","SendGridHttpTransport (C3 real transport)","2026-07-14","passed","2026-07-14","","","",""
"","1","does NOT retry publish on a 5xx failure (no duplicate POST)","OLXAdapter","2026-07-14","passed","2026-07-14","","","",""
"","1","passesGuardrails honours per-action master switches","HermesDecisionEngine guardrails (C1 / AMENDMENT FIX #5)","2026-07-14","passed","2026-07-14","","","",""
